id,forum,author,nick,title,content,created_time,ts
M.1455032826.A.035,HatePolitics,sunyeah,   湯元嗎,[黑特] lbj在節目說柯文哲不敢公布,"土壤液化區，標題直接打柯文哲不敢公布的秘密

結果報告說2002年就完成了，結果抹2016年柯文哲不敢公布

那2002年到2016年之間是啥小？

垃圾節目

--",2016-02-12 02:00:57,2016-02-09 23:47:04
M.1455031945.A.3AD,HatePolitics,chataulait,牛奶貓,Re: [新聞] 希拉蕊民調慘輸 柯林頓爆氣開嗆,": 推 CavendishJr: 希拉蕊選不上了嗎QAQ                                02/09 16:37
: → darknight127: 川普痴漢呵                                        02/09 16:48
: → darknight127: 年輕人真的很愛桑伯                                02/09 16:49
: 噓 richjf: 美國也懂沉沒的多數？                                    02/09 16:54
: 推 kcbill: 哪是鐵票。1992柯林頓就沒有贏；2008希拉蕊贏被解讀為爆冷  02/09 16:54
: → kcbill: 這州就在桑德斯本鎮的隔壁，地利優勢+人口組成優勢         02/09 16:55
: → kcbill: 補充個資訊，現在已經有一個9人小鎮開票完畢。3票Kasich/2  02/09 16:56
: → kcbill: 票Drump/4票Sanders/其餘沒有                             02/09 16:56
: → kcbill: 根據民調，上週愛荷華初選，84%民主黨人投給桑德斯         02/09 16:57
: 推 djcc: 過氣老人  狗吠火車  哈哈                                  02/09 17:22
: 推 MPSSC: 希拉蕊本來就被定義為華府老醬缸政治人物,再加上希拉蕊自己  02/09 18:32
: → MPSSC: 爭議(電郵門....BALA),被大左派Sanders趕上只是剛好.....    02/09 18:33
: → MPSSC: 只能說民主黨選民厭倦希拉蕊那種老政客而已                 02/09 18:33

希拉蕊真的拿不太到年輕人的選票

民主黨一向被視為比較左派（也常常比較理想主義）
所以民主黨的支持者會支持一個理想主義色彩較濃的候選人
也不是太令人意外的事情

但是柯林頓家族很多作風並不是那麼符合民主黨的形象
例如他們和財團走得很近
柯林頓卸任後到處演講賺大錢
電郵門事件裡，希拉蕊的處理方式給人的印象就是
這又是一個柯林頓，喜歡貪自己方便又傲慢自以為是等等


另外，希拉蕊喜歡拿自己的女性身分來做文章
例如要求女性選民投給她
但是她除了她老公剛選上總統的時候
說自己不會在白宮烤餅乾（亦即只做家庭主婦、軟性活動）之外
真的不容易看出她在性別議題上有什麼進步之處

她在她老公出軌的事件上硬挺柯林頓
這件事情通常被認為是缺乏進步性別觀念的一個表現
至少美國的女性主義者不會欣賞她當時的作法

我今天還看到一篇文章
標題就是
「我是女性，我會把總統票投給最好的女性主義者，桑德斯」

希拉蕊在年輕女性中的支持度也低得可怕
上禮拜愛荷華州的初選
三十歲以下的女性中
她和桑德斯的支持度分別是14% 和84%

這幾天希拉蕊陣營開始請出一些女性名人來幫忙
例如前國務卿歐布萊特
她恐嚇說不幫助女性的女人們等著下地獄吧
還有美國著名的資深女性主義者Gloria Steinem
說支持桑德斯的女性「不夠」女性主義
她們支持桑德斯只是因為年輕男性喜歡他
年輕女孩為了年輕男孩這麼投票

總之，這種種很荒謬的言論更加引起反感
想想中華民國滅亡論或是皇民說混蛋說在台灣造成的效果吧...


現在希拉蕊主要的希望在南方州
那邊的黑人對他們夫妻的支持度一向很高
但是...
說真的在初選開打之前也沒人知道她在北邊會這麼慘
所以南方... 天曉得呢


--",2016-02-12 02:00:52,2016-02-09 23:32:22
M.1455030945.A.EE0,HatePolitics,aitt,喜歡美食與運動(M),Re: [新聞] 滿意度剩47％ 柯文哲神回:塞車跟總統大選,"

假若這是旺旺中時做的民調,敢問可信度有多高?
你去想想吧,旺旺中時多麼擁馬,挺國民黨?
他們對於反國民黨的人會有好臉色才有鬼,
至於針對誰調查? 搞不好針對特定擁藍的對象調查也說不定.

至於柯做一年多的市長如何? 只能說對他有滿意也有不滿意的地方,
大致上他的方向是對的,需要檢討的就是配套吧,
再怎麼說,都比前兩任的馬郝兩人好多了...


--",2016-02-12 02:00:43,2016-02-09 23:15:41
M.1455029364.A.8A3,HatePolitics,hong1126,小紅哥,[討論] 請問柯黑到底要崩潰到啥時候,"

怎麼有人從前年的1129崩潰到現在阿

實在令人佩服耶~ 都快破崩潰世界紀錄了


到底柯黑要崩潰到啥時候才肯罷休呀?!

我猜要連續崩潰八年了

可憐 拍拍!!

--",2016-02-12 02:01:20,2016-02-09 22:49:21
M.1455028837.A.5CF,HatePolitics,sunyeah,   湯元嗎,Re: [討論] 為什麼柯p沒有被稱柯神?,"
→ kim: 基本上  柯P話少一半  就可以維持形象又沒得黑02/09 22:16

所以你到底是不滿柯不會說場面話還是柯不會做事？

柯選前選後的嘴就是那樣，你死硬要去封住他的嘴，那他還叫柯文哲嗎？

所以你對政治人物是要求一張好嘴還是可以辦事？

我真的不太懂你的需求，還有你口中老dpp的需求

--",2016-02-12 02:01:19,2016-02-09 22:40:34
M.1455028451.A.F8D,HatePolitics,DICB,曾經擁有,Re: [黑特] 柯文哲的好運 即將用盡,"這幾個星期以來...(從塞車塞到爆新聞開始)

這一類的文在政黑我都直接END!!連看都.懶得看了...

說誰誰誰出來柯P就輸了.....唉!!幻想歸幻想回歸現實面比較好

我先從綠的開始說起好了(不然藍蛆蛆都說我是吱吱.希望吱吱別把我打成蛆蛆了)

我問現在DPP的你們可以看看20141129大選剩蚊票率和2016116朱立倫的得票率嗎？

而且台北市還是很多的藍營鐵票區.請問一下歐...？藍營的鐵票區  含淚投DPP所推出來
的候選人嗎？？

不  就別再幻想了！該回歸現實面謝謝！

然後藍營也說我們的誰誰誰出來.柯P就穩輸的...這個也麻煩一下別再幻想了！回歸現實
面吧....

我舉例來說好(先不以政績來說)

看看柯P走到哪多少支持者包圍？(麻煩別再幻想那是抗議的人.要是抗議的人柯P的維安人
員就GG了)

反觀和反問一下藍營有哪一個可以大勝柯P被支持者包圍的人？

然後以政績來說

看看這次的大橋...你真的當作台北人都是沒眼睛的嗎？

93年規劃到現在才被柯P拆除...

而且公車專用道也是....

甚至社子島的開發案被你們藍營托了將近20年頭...你真的當作台北人的眼睛都瞎了嗎？

誰有在做事誰沒做事酸民的眼睛是有在看的好嗎？

所以不管是DPP還是KMT的人出來選.一但柯P還要出來選.哪一邊都拿不下來的好嗎!!

--",2016-02-12 02:01:15,2016-02-09 22:34:08
M.1455028111.A.A2B,HatePolitics,brella,府城嚴選臭懶趴,Re: [黑特] 柯文哲的好運 即將用盡,"小弟在之前早就提了，2018正值國民黨崩毀之際，蔣萬安絕對會
披上戰袍，直取首都市長大位！

2020再以救世主之姿出馬角逐總統寶座！

看看現在的藍紅媒不就已經開始包裝造神了嗎？

而柯文哲在2018的選票將不到上屆的六成，約47萬票，連李應元
的48萬票都突破不了，黯然退出政壇！

蔣萬安則會成為台北市長選舉史上第一位票數超過100萬票的當選
者！

哈哈哈哈哈哈哈哈

--",2016-02-12 02:01:14,2016-02-09 22:28:29
M.1455027858.A.A3E,HatePolitics,Canadian,lamberjack,Re: [黑特] 柯文哲的好運 即將用盡,"補一下

行動派出所 這個是最好笑的

要開始之前  一堆人都不看好


結果還是要硬幹!


整個大失敗

後來還裝作沒事情~


台北市真的在哭泣~

--",2016-02-12 02:01:11,2016-02-09 22:24:15
M.1455027078.A.D7D,HatePolitics,coober,,Re: [討論] 為什麼柯p沒有被稱柯神?,"看到k大發文

我也心有戚戚焉

柯p上任之後 說的很多 做的很少

要嘛他目標很高 但手段不夠

要嘛就是他純打嘴砲



過往很多綠營的政客 都是一時的人傑

每每都能提出新的價值與方向 帶領時代往前走

但柯p上任之後咧~ 我只看到老調重彈

不停地討好舊官僚  用那一套老方法在辦事情

然後假日就到處跑 到處秀

一年多以來 我是真的不知道他在幹嘛

就如同很多人喜歡把馬英九的壞形容為笨 以此替馬開脫一樣

現在承認柯眼高手低能力不足 已經很給下台階 很寬容的解釋了



--",2016-02-12 02:01:07,2016-02-09 22:11:15
M.1455026766.A.198,HatePolitics,Canadian,lamberjack,[討論] 柯P比賴清德  請問一下這個等級差多少？,"一個不會做事情  只會開除人 沒政績

整天酸馬英九

===============================
一個在災區 指揮 沒回家吃年夜飯

每一個大狀況都要掌握  馬上做出重大決定



為什麼一樣是Doctor

賴神狂電柯P呢？

--",2016-02-12 02:01:05,2016-02-09 22:06:04
